Fecha,Producto,Categoría,Región,Precio,Cantidad,Costo,Ventas,Costo Total,Ganancia
2024-01-22,Notebook,Tecnología,Maule,1000000,3,700000,3000000,2100000,900000
2024-01-25,Tablet,Tecnología,Maule,600000,4,350000,2400000,1400000,1000000
2024-02-23,Celular,Tecnología,Valparaíso,600000,4,450000,2400000,1800000,600000
2024-01-23,Celular,Tecnología,Santiago,700000,3,500000,2100000,1500000,600000
2024-02-10,Celular,Tecnología,Tarapacá,500000,4,300000,2000000,1200000,800000
2024-01-10,Notebook,Tecnología,Santiago,900000,2,650000,1800000,1300000,500000
2024-02-22,Notebook,Tecnología,Arica,800000,2,600000,1600000,1200000,400000
2024-02-15,Tablet,Tecnología,Atacama,400000,3,250000,1200000,750000,450000
2024-01-11,Celular,Tecnología,Valparaíso,300000,3,200000,900000,600000,300000
2024-02-09,Notebook,Tecnología,Concepción,700000,1,500000,700000,500000,200000
2024-02-13,Tablet,Tecnología,Concepción,350000,2,250000,700000,500000,200000
2024-01-18,Monitor,Tecnología,Coquimbo,100000,5,70000,500000,350000,150000
2024-02-26,Tablet,Tecnología,Santiago,400000,1,250000,400000,250000,150000
2024-01-13,Tablet,Tecnología,Santiago,400000,1,250000,400000,250000,150000
2024-01-26,Smartwatch,Accesorio,Santiago,200000,2,150000,400000,300000,100000
2024-01-14,Smartwatch,Accesorio,Santiago,150000,2,90000,300000,180000,120000
2024-02-24,Audífonos,Accesorio,Valparaíso,50000,5,30000,250000,150000,100000
2024-02-19,Monitor,Tecnología,Maule,100000,2,50000,200000,100000,100000
2024-01-16,Teclado,Tecnología,Coquimbo,40000,5,25000,200000,125000,75000
2024-01-12,Audífonos,Accesorio,Concepción,50000,4,20000,200000,80000,120000
2024-02-17,Teclado,Tecnología,Santiago,40000,4,25000,160000,100000,60000
2024-02-05,Monitor,Tecnología,Maule,80000,2,50000,160000,100000,60000
2024-01-17,Webcam,Tecnología,Antofagasta,50000,3,35000,150000,105000,45000
2024-01-30,Monitor,Tecnología,Concepción,150000,1,90000,150000,90000,60000
2024-01-24,Audífonos,Accesorio,Biobío,140000,1,100000,140000,100000,40000
2024-02-16,Mouse,Tecnología,Biobío,45000,3,25000,135000,75000,60000
2024-02-08,Carcasa,Accesorio,Valparaíso,20000,5,10000,100000,50000,50000
2024-01-27,Mouse,Tecnología,Biobío,20000,5,10000,100000,50000,50000
2024-02-14,Audífonos,Accesorio,Concepción,25000,3,10000,75000,30000,45000
2024-01-15,Mouse,Tecnología,Tarapacá,35000,2,20000,70000,40000,30000
2024-02-07,Adaptador,Accesorio,Biobío,15000,4,5000,60000,20000,40000
2024-01-21,Carcasa,Accesorio,Santiago,10000,5,3000,50000,15000,35000
2024-01-29,Webcam,Tecnología,Valparaíso,50000,1,35000,50000,35000,15000
2024-02-25,Audífonos,Accesorio,Arica,50000,1,30000,50000,30000,20000
2024-02-03,Teclado,Tecnología,Valparaíso,25000,2,15000,50000,30000,20000
2024-02-04,Webcam,Tecnología,Maule,20000,2,15000,40000,30000,10000
2024-02-20,Cable USB,Accesorio,Santiago,20000,2,10000,40000,20000,20000
2024-01-28,Teclado,Tecnología,Santiago,35000,1,20000,35000,20000,15000
2024-01-19,Cable USB,Accesorio,Atacama,15000,2,7000,30000,14000,16000
2024-02-18,Webcam,Tecnología,Biobío,30000,1,15000,30000,15000,15000
2024-02-06,Cable USB,Accesorio,Concepción,10000,3,5000,30000,15000,15000
2024-02-12,Audífonos,Accesorio,Santiago,15000,2,5000,30000,10000,20000
2024-02-11,Audífonos,Accesorio,Concepción,25000,1,10000,25000,10000,15000
2024-02-27,Audífonos,Accesorio,Santiago,20000,1,10000,20000,10000,10000
2024-02-21,Carcasa,Accesorio,Tarapacá,10000,2,3000,20000,6000,14000
2024-02-02,Carcasa,Accesorio,Atacama,8000,2,3000,16000,6000,10000
2024-01-20,Adaptador,Accesorio,Santiago,15000,1,7000,15000,7000,8000
2024-02-01,Adaptador,Accesorio,Santiago,10000,1,5000,10000,5000,5000
2024-01-31,Cable USB,Accesorio,Santiago,10000,1,5000,10000,5000,5000
